"Extension","Count","TotalBytes"
".ts","134","167498"
".json","37","87974490"
".png","32","1002608"
".gz","25","55117343"
".ps1","14","115835"
".md","12","42152"
".js","9","113882"
".gif","6","384375"
".bak","6","19240"
".txt","4","20090"
".yaml","4","128168"
".ignored","4","6488"
".csv","4","50559390"
".bak-20250830210027","3","1369"
".tsx","3","3886"
".zip","3","16558836"
".sql","2","248"
".bak_20250830152323","2","34430"
".old","2","312986"
".bak_20250830155734","2","43221"
".bak_20250830160746","2","43276"
".bak_20250830162612","2","45586"
".bak_20250830155407","2","43109"
".disabled","2","10245"
".bak-20250831001421","2","988"
".bak-20250830205359","1","1554"
".bak_20250830144706","1","11877"
".prisma","1","4479"
".bak-20250830205729","1","563"
".bak_20250830144847","1","8892"
".tsbuildinfo","1","118636"
".bak_20250830145630","1","6408"
".html","1","507"
".bak-20250831003802","1","1537"
".bak_20250830145726","1","6660"
".bak_20250830145720","1","6408"
".bak_20250830145633","1","6408"
".bak-20250830232235","1","1760"
".bak-20250830214133","1","3506"
".rscinfo","1","102"
"","1","17615"
".bak-20250830232233","1","1810"
".bak-20250831004829","1","1051"
".bak-20250830224812","1","3499"
".bak_20250830144601","1","10755"
".bak_20250830142331","1","24526"
".bak_20250830142033","1","24526"
".bak_20250830141955","1","27486"
".bak_20250830152757","1","14981"
".bak_20250830142730","1","24590"
".bak_20250830142506","1","24612"
".bak_20250830141446","1","24013"
".bak_20250830134920","1","27784"
".bak_20250830134703","1","27751"
".env","1","4280"
".bak_20250830141321","1","25189"
".bak_20250830140924","1","23572"
".bak_20250830140723","1","25590"
".bak-20250830205352","1","1343"
".mjs","1","171"
".bak-20250830205730","1","191"
".bak_20250830144443","1","10769"
".bak_20250830144358","1","10771"
".bak-20250830212353","1","1175"
".toml","1","126"
".bak_20250830153624","1","15166"
".bak_20250830153508","1","15171"
".bak_20250830152949","1","15092"
".bak_20250830154224","1","17346"
".bak_20250830153913","1","17262"
".bak_20250830153755","1","15173"
